"details","date","city","state","country","shape","summary","report_date","posted_date","image"
"https://nuforc.org/sighting/?id=159959","09/30/2020 23:38","Houston","TX","USA","","MADAR Node 118","10/15/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159621","09/30/2020 23:08","Indianapolis","IN","USA","Light","Leaving boyfriend's work place, turn left onto Producers Lane, see ball of light streak across the sky heading north, then make a hard","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159680","09/30/2020 23:00","Monroeville","PA","USA","Unknown","I have seen two things. I don't know if I am crazy or what. The first. This took place as we were talking about UFOs. We see a light, a","10/01/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159682","09/30/2020 23:00","Aurora","CO","USA","Light","Approximately 23:00,I went outside and looked at the moon. Noticed a cluster of lights west of the moon,thought they were stars.They st","10/01/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159847","09/30/2020 22:45","Huntsville","AR","USA","Diamond","Diamond shaped UFO 4 white lights on each corner back one slowly fading in/out white to yellow. Electric humming & unusual dog howls","10/08/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159685","09/30/2020 21:45","Rutland","VT","USA","Disk","Glowing oreo cookie shaped disc like object witnessed moving quickly and silently across the night sky.","10/01/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159619","09/30/2020 20:15","Roswell","NM","USA","Fireball","Orange balls of light on US 285, just north of Roswell, New Mexico.","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159620","09/30/2020 20:00","Amado (Elephant Head)","AZ","USA","Changing","Orange and blue smoke like objests over Elephant Head Az.","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159626","09/30/2020 19:25","Salinas Victoria (Mexico)","","Mexico","Other","An object in the shape of a crescent moon was observed at high altitude and speed, white as moonlight, with the circular part towards t","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=179052","09/30/2020 18:45","Seymour","CT","USA","Rectangle","Me and My fiance on our way to dinner have a rectangular UFO the size of a football field silently fly over car","10/21/2023","10/28/2023",""
"https://nuforc.org/sighting/?id=159628","09/30/2020 18:30","Staten Island","NY","USA","Disk","Grey disk floating in the sky. Completely still, not moving at all.","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159623","09/30/2020 17:15","Gaston","SC","USA","Triangle","triangular object with red, green and white rapidly flashing lights, apparently stationary, low in the westerly sky at 17:00","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159630","09/30/2020 17:08","Edmond","OK","USA","Egg","Silver UFO seen in Edmond suddenly vanished","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159632","09/30/2020 17:00","Abington","PA","USA","Cigar","Ugh. 500PM. Sitting on Bach deck. Two clouds in the sky. Blue sky. Crystal clear. The one small cloud, NE sky, had what looked like a","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159665","09/30/2020 06:30","Nebraska City","IA","USA","Circle","3 circle shaped craft flying in triangle formation start spinning and switching places changing directions very quickly","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159667","09/30/2020 06:30","Mechanicsburg","PA","USA","Flash","It was a super bright, long lasting flash.","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159957","09/30/2020 05:08","Jonesboro","AR","USA","","MADAR Node 143","10/15/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159679","09/30/2020 03:45","Colombus","OH","USA","Rectangle","rectangular object green trail from entry in atmostphere.","10/01/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159666","09/30/2020 03:30","North Phoenix","AZ","USA","Flash","I was finishing up working on my wife car when I notice Two white lights in the sky right next to each other. I ran inside to get my wi","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159958","09/29/2020 23:38","Houston","TX","USA","","MADAR Node 118","10/15/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159670","09/29/2020 22:55","Murray","UT","USA","Oval","White oval object zooms toward the mountains","09/29/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159668","09/29/2020 22:45","Nuevo","CA","USA","Sphere","Orange light seen moving side to side by four witnesses.","09/29/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159695","09/29/2020 22:00","Oakville","WA","USA","Unknown","It seemed to be scanning the landscape","10/01/2020","11/05/2020",""
