"details","date","city","state","country","shape","summary","report_date","posted_date","image"
"https://nuforc.org/sighting/?id=159959",NA,"Houston","TX","USA","","MADAR Node 118",NA,NA,""
"https://nuforc.org/sighting/?id=159621",NA,"Indianapolis","IN","USA","Light","Leaving boyfriend's work place, turn left onto Producers Lane, see ball of light streak across the sky heading north, then make a hard",NA,NA,""
"https://nuforc.org/sighting/?id=159680",NA,"Monroeville","PA","USA","Unknown","I have seen two things. I don't know if I am crazy or what. The first. This took place as we were talking about UFOs. We see a light, a",NA,NA,""
"https://nuforc.org/sighting/?id=159682",NA,"Aurora","CO","USA","Light","Approximately 23:00,I went outside and looked at the moon. Noticed a cluster of lights west of the moon,thought they were stars.They st",NA,NA,""
"https://nuforc.org/sighting/?id=159847",NA,"Huntsville","AR","USA","Diamond","Diamond shaped UFO 4 white lights on each corner back one slowly fading in/out white to yellow. Electric humming & unusual dog howls",NA,NA,""
"https://nuforc.org/sighting/?id=159685",NA,"Rutland","VT","USA","Disk","Glowing oreo cookie shaped disc like object witnessed moving quickly and silently across the night sky.",NA,NA,""
"https://nuforc.org/sighting/?id=159619",NA,"Roswell","NM","USA","Fireball","Orange balls of light on US 285, just north of Roswell, New Mexico.",NA,NA,""
"https://nuforc.org/sighting/?id=159620",NA,"Amado (Elephant Head)","AZ","USA","Changing","Orange and blue smoke like objests over Elephant Head Az.",NA,NA,""
"https://nuforc.org/sighting/?id=159626",NA,"Salinas Victoria (Mexico)","","Mexico","Other","An object in the shape of a crescent moon was observed at high altitude and speed, white as moonlight, with the circular part towards t",NA,NA,""
"https://nuforc.org/sighting/?id=179052",NA,"Seymour","CT","USA","Rectangle","Me and My fiance on our way to dinner have a rectangular UFO the size of a football field silently fly over car",NA,NA,""
"https://nuforc.org/sighting/?id=159628",NA,"Staten Island","NY","USA","Disk","Grey disk floating in the sky. Completely still, not moving at all.",NA,NA,""
"https://nuforc.org/sighting/?id=159623",NA,"Gaston","SC","USA","Triangle","triangular object with red, green and white rapidly flashing lights, apparently stationary, low in the westerly sky at 17:00",NA,NA,""
"https://nuforc.org/sighting/?id=159630",NA,"Edmond","OK","USA","Egg","Silver UFO seen in Edmond suddenly vanished",NA,NA,""
"https://nuforc.org/sighting/?id=159632",NA,"Abington","PA","USA","Cigar","Ugh. 500PM. Sitting on Bach deck. Two clouds in the sky. Blue sky. Crystal clear. The one small cloud, NE sky, had what looked like a",NA,NA,""
"https://nuforc.org/sighting/?id=159665",NA,"Nebraska City","IA","USA","Circle","3 circle shaped craft flying in triangle formation start spinning and switching places changing directions very quickly",NA,NA,""
"https://nuforc.org/sighting/?id=159667",NA,"Mechanicsburg","PA","USA","Flash","It was a super bright, long lasting flash.",NA,NA,""
"https://nuforc.org/sighting/?id=159957",NA,"Jonesboro","AR","USA","","MADAR Node 143",NA,NA,""
"https://nuforc.org/sighting/?id=159679",NA,"Colombus","OH","USA","Rectangle","rectangular object green trail from entry in atmostphere.",NA,NA,""
"https://nuforc.org/sighting/?id=159666",NA,"North Phoenix","AZ","USA","Flash","I was finishing up working on my wife car when I notice Two white lights in the sky right next to each other. I ran inside to get my wi",NA,NA,""
